,Title,Location,Company,Rating,Ownership,Industry,Sector,Salary,Description,min_salary,max_salary,avg_salary,Type_of_ownership,Python,Aws,Excel,Deep_learning,Macine_learning,Bachelors,Masters,Job_type,Job_simp,Seniority_simp,Industry_simp,Sectors_simp
0,Data Scientist 1,Bangalore,PayPal,4.1,Company - Public,Internet,Information Technology,₹250K - ₹683K (Glassdoor Est.),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: With over 286+ million active account holders in 200+ markets around the world, PayPal prides itself on providing experiences that power Customer Success on our platforms. We believe that conversational experiences and automation can provide valuable experiences for our customers by enabling immediate help in a way that is interactive and adapts to the customer's needs. The next-gen platforms that we build meet customer service needs across a variety of channels including Chatbot, Chat, Voice, Asynchronous Messaging and Self-Service. Our platform aims to resolve customer pain efficiently, effectively and proactively through the use of AI/ML to accurately predict a customer's likelihood to need help and the intent behind seeking help. Our platforms also equip our customer support agents with tools to resolve customer problems quickly and comprehensively. These tools and experiences include AI/ML driven automation, Natural Language Understanding models, guided solution workflows, and compelling user interfaces. We are looking for a Data Scientist who will work on ML/DL/NLP models to cater to the needs of Customer Success organisation, work with managers and operations to ensure that models meets reliability, accuracy, reusability and performance goals.
Job Description:
Job Description

Bachelors/Masters or higher degree in Computer Science or related technical field.
5+ years of experience in Statistics, NLP, Machine learning and Deep learning.
Demonstrate technical leadership by influencing the team on technical decisions and problem-solving approaches.
Strong knowledge of data structures, algorithms and excellent problem-solving skills (Python/Java/Node)
Strong experience in developing, deploying and monitoring large scale models in production environments.
Deep understanding and working knowledge of frameworks like PyTorch/TensorFlow/Keras.
Strong communication skills - including ability to articulate issues in a clear and concise manner, and present effectively in both oral and written presentations.
Strong analytical, research, problem solving and evaluative thinking skills.
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.
To apply to this job, click Apply Now",250,683,466.5,Public,1,0,1,1,1,1,1,Other,Data Scientist,Other,Internet,Information Technology
1,Data Scientist,Gurgaon,Builder.ai - What would you Build?,3.7,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹527K - ₹798K (Glassdoor Est.),"About us

Innovation is fuelled by the power of possibilities. A few years ago, it was virtually impossible to innovate because building software needed a degree, it was simply too expensive, too complex, too risky and ultimately too inefficient. That’s why only 16% of projects were ever done on budget and 78% failed.

We're changing that. We’re flipping software development on its head and kicking out the notion that you need to be an expert or do boot camps to learn how to make your app. Builder.ai’s platform lets you order the perfect software app for whatever problem you’re trying to solve. Our AI powered assembly line brings together Lego-like reusable features and experts from around the world to bring world-class ideas to life – ANYONE’s world-class ideas.

Building software needs to be like ordering pizza – pick what you want, get recommendations for the features you need and simply wait till it's cooked and ready for you.

Our human-assisted AI platform helps anyone build, run & scale tailor-made software. Everyone from the bakery in Riyadh and nursery in London, to large fortune 100 companies like the BBC or Pepsi.

Life at Builder

It’s a place where everything moves at lightning pace and most definitely not for the faint hearted. We celebrate diversity, push everyone to do more with less and yet provide a culture that allows everyone to experiment, push boundaries and learn by doing. Every Builder runs to our core value system of HEARTT (Heart, Entrepreneurship, Accountability, Respect, Trust & Transparency) and we’re always looking for team players, with a point of view, a sense of humility and a let’s-get-stuff-done attitude.

Our scale up is at the intersection of a quirky startup where designers and machine learning specialists work on problems together to savvy commercial teams working with finance folks to invent new business models. #WhatWouldYouBuild

Why We Need This Role

Our data scientists will be a part of the Intelligent Systems based in London but will work closely and collaborate with global product and engineering teams across 3 locations: London, New Delhi and Los Angeles. The Intelligent Systems team manages all of the innovation powered by data science, machine learning and AI (decision making). It is likely to witness significant growth over the course of the next year and beyond.

This team will take ownership of a whole host of different existing use cases and there is also a significant potential to test out ideas that currently are in the pure research domain. Key problems include:
Estimating and accurately forecasting the price and timeline of a new software project taking into account historical information
Efficiently allocating our developer workforce to meet customer demand for projects with a view to maximising business metrics such as profitability and customer satisfaction
Program synthesis and automatic code generation
Monitoring, tracking, understanding and predicting the behaviours of all entities who partake in our ecosystem including customers
Understand the dependency structures (potentially causal) between the different components/features within the software development life cycle and identify bottlenecks
Forecasting customer behaviour
Automating aspects of the quality assurance process in the software development lifecycle
Growth and performance marketing related problems such as budget allocation, attribution and market mix modelling
Requirements

Essential skills
A PhD or an advanced Masters in a scientific discipline: Statistics, Computer Science, Operational Research, Mathematics, Physics
Experience in one or more of the following areas: Supervised Learning, Deep Learning, Probabilistic Inference, Statistical Modelling, Bayesian Statistics, Unsupervised Learning, Operational Research, Reinforcement Learning and Mathematical Optimisation
Passionate about software development and engineering as a field
2-4 years of industry experience but more importantly, demonstrable experience at taking concepts and models from conception to production and quantifying business impact
Proficient at programming in Python or R
Real world data querying, data manipulation and feature engineering experience
Knowledge of and experienced at working with cloud technologies
Ability to operate in interdisciplinary teams comprised of product, engineering, business and technology experts
Deep Learning / NLP
Desired skills
Ability to communicate with diverse stakeholders
An entrepreneurial and a can do attitude
Previous experience in a consumer, product or an eCommerce business would be beneficial
Academic research experience would be beneficial. Ability to propose bespoke and novel solution to non-standard machine learning problems
Track record of industry recognition which could be in the form of high impact academic research outputs, contribution to high impact open source projects or performance in open source competitions such as Kaggle
Benefits
Health and wellness benefits
Performance-based bonuses and stock options
Employee friendly policies
Generous vacation and time off benefits, including paid holidays
Generally flexible working hour",527,798,662.5,Private,1,0,0,1,1,0,1,Other,Data Scientist,Other,Software,Information Technology
2,Machine Learning Engineer - Java/Scala/Spark (JoinOCI-SDE),Bangalore,Oracle,3.8,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹402K - ₹831K (Glassdoor Est.),"Oracle Cloud Infrastructure (OCI) is a strategic growth area for Oracle. It is a comprehensive cloud service offering in the enterprise software industry, spanning Infrastructure as a Service (IaaS), Platform as a Service (PaaS) and Software as a Service (SaaS). OCI is currently building a future-ready Gen2 cloud Data Science service platform. At the core of this platform, lies Cloud AI Cloud Service.
What OCI AI Cloud Services are: A set of services on public cloud, that are powered by ML and AI to meet the Enterprise modernization needs, and that work out of the box. These services and models can be easily specialized for specific customer/domain by leveraging existing OCI services.
Key Points: Enables customers to add AI capabilities to their Apps and Workflows easily via APIs or Containers, Useable without needing to build AI expertise in-house and Covers key gaps – Decision Support, NLP, Computer Vision, for Public Clouds and Enterprise in NLU, NLP, Vision and Conversational AI.
You’re Opportunity: As we blaze the trail to provide a single collaborative ML environment for data-science professionals, we will be extremely happy to have you join us and share the very future of our Machine Learning platform - by building an AI Cloud service.
We are addressing exciting challenges at the intersection of artificial intelligence and cutting-edge cloud infrastructure. We are building cloud services in Decision Support (Anomaly Detection, Time series forecasting, Fraud detection, Content moderation, Risk prevention, predictive analytics), computer vision, natural language processing (NLP) and, speech that works out of the box for enterprises. Our product vision includes the ability for enterprises to be able to customize the services for their business and train them to specialize in their data by creating micro models that enhance the global AI models.

What You’ll Do
Develop scalable infrastructure that automates training and deployment of ML models.
Brainstorm and Design various POCs using ML/DL/NLP solutions for new or existing enterprise problems.
Work with fellow data scientists/SW engineers to build out other parts of the infrastructure, effectively communicating your needs and understanding theirs and address external and internal shareholder's product challenges.
Building core of Artificial Intelligence and AI Service as Decision Support, Vision, Speech, Text, NLP, NLU, and others.
Leverage Cloud technology – Oracle Cloud (OCI), AWS, GCP, Azure, Heroku or similar technology.
Experiment with ML models in Python using machine learning libraries (Pytorch, Tensorflow), Big Data, Hadoop, HBase, Spark, etc
Qualifications
Master’s degree (preferred) in computer science, Statistics or Mathematics, artificial intelligence, machine learning, speech recognition, natural language processing, operations research, or related technical field.
1+ year for PhD, 4+ yearfor Masters or 6+ years of Experience designing and implementing machine learning models in production environments.
Expert in at least one high level language such as Scala/Java/F#/C#/C++ (Scala and Java preferred)
Expert in at least one scripting language such as Python, Javascript, Shell (Python and Javascript preferred)
Working knowledge of current techniques and approaches in machine learning and statistical or mathematical models
Practical experience in Big Data technologies – Spark, Hadoop, Object Storage (S3), Kafka
Practical experience working in a cloud environment: Oracle Cloud (OCI), AWS, GCP, Azure, Heroku or similar technology.
Experience or willingness to learn and work in Agile and iterative development and DevOps processes.
Strong drive to learn and master new technologies and techniques.
Deep understanding of data structures, algorithms, and excellent problem-solving skills.
You enjoy a fast-paced work environment.

Additional Preferred Qualifications
Experience with Cloud Native Frameworks tools and products is a plus
Having an impressive set of github projects or contributions to open source technologies is a plus
Hands-on experience with horizontally scalable data stores such as Hadoop and other NoSQL technologies like Cassandra
Our vision is to provide an immersive AI experience on Oracle Cloud. Aggressive as it might sound, our growth journey is fueled by highly energetic, technology savvy engineers like YOU who are looking to grow with us to meet the demands of building a powerful next-generation platform. Are you ready to do something big? Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.

Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.",402,831,616.5,Public,1,1,1,1,1,0,1,Internship,Machine Learing,Other,Software,Information Technology
3,Data Scientist,Bangalore,Nutanix,3.9,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹457K - ₹899K (Glassdoor Est.),"We are looking for a Data Scientist who will support our support, sales, leadership and other teams with insights gained from analyzing company and customer data. The ideal candidate is adept at using different data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. This person will also be responsible for building tools/platforms to make it easier for others to leverage ML capability and spread culture of ML by doing brown bags etc.

Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Build tools/platforms to make it easier for others to leverage ML capability and spread culture of ML by doing brown bags etc.
Mine and analyze data from company databases to drive optimization and improvement of support process, product development, sales opportunities and other improvements
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications:
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
We’re looking for someone with 4-8 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:
Coding knowledge and experience with programming languages like python, java etc
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Familiarity with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders
]]>
To apply to this job, click Apply Now",457,899,678.0,Public,1,0,1,0,1,0,1,Other,Data Scientist,Other,Software,Information Technology
4,Data Scientist,Chennai,Paypal,4.1,Company - Public,Internet,Information Technology,₹540K - ₹724K (Glassdoor Est.),"At PayPal, were literally reinventing how the world pays and gets paid. We understand that its about people. We connect individuals to let them shop, get paid, donate and send money using todays technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?

The worlds leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.

As a Data Scientists in PayPals Global Data Science organization, you will have an impact on PayPals marketing and product all around the world. Our data scientists work to better understand our end-users, identify opportunities and improve our products and marketing outreach by creating personal and smart experiences. Making use of PayPals endless amount of data, you will leverage your data and machine learning skills for research and delivery of end-to-end Data Science solutions.
If you are an experienced Data Scientist with sharp analytical skills and a passion for deriving new insights from unimaginable amounts of data, solving unique challenges, leveraging cutting edge machine learning algorithms, and working in a highly collaborative, values-driven environment then PayPals Global Data Sciences (GDS) is looking for you.

In your role you will Collaborate with other data scientists, product managers and engineers to formulate innovative ideas, and test / implement through advanced data science technique

You will interact with cross functional teams to:
Design, develop and implement data-driven strategies and machine learning models for card auth optimization, Transaction expense optimization and improve PP payments platform availability and reduce latency
Create innovative features and data for payment strategies and models, align with stakeholders and implement these capabilities
Develop models and solutions using latest technologies like Deep learning, LSTM, reinforcement learning to bring best value to Consumers and Merchants.
Analyze and monitor data science solutions, and communicate analysis results and complex concepts to conclude actionable insights
Job Requirements:
Professional industry experience in a quantitative analysis role (2+ years preferred), with advanced degree (Masters or PhD.) in Math, Statistics, Operations Research, or Computer Science
Proficiency in languages used for querying (e.g. SQL/Hive/Pig/Spark), preprocessing (e.g. Unix/Python), and statistical analysis (e.g. Python/R)
Experience with machine learning algorithms and statistical methods
Strong verbal and written communication skills to express data science concepts and solutions to product managers, data scientists, business partners of varying technical levels, and influence and negotiate to reach alignment on how to execute strategies and improve models.
Team worker, responsible, delivery-oriented
Knowledge about card issuers and card payment processing is a strong plus
Apply Now: click Apply Now",540,724,632.0,Public,1,0,0,1,1,0,1,Other,Data Scientist,Other,Internet,Information Technology
5,Vice President Data Ops Engineering - (Java and C++),Gurgaon,BlackRock,4.1,Company - Public,Investment Banking & Asset Management,Finance,₹541K - ₹800K (Glassdoor Est.),"Description
About this role
Data Operations Engineering (DOE)
When BlackRock was started in 1988, its founders envisioned a company that combined the best of financial services with cutting edge technology. They imagined a business that would provide financial services to clients as well as technology services to other financial firms. The result of their vision is Aladdin, our industry leading, end-to-end investment management platform. With assets valued over USD $7 trillion managed on Aladdin, our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing.
Data is at the heart of Aladdin and increasingly the ability to consume, store, analyze and gain insight from data has become a key component of our competitive advantage. The DOE team is responsible for the data ecosystem within BlackRock. Our goal is to build and maintain a leading edge data platform that provides highly available, consistent data of the highest quality for all users of the platform, notably investors, operations teams and data scientists. We focus on evolving our platform to deliver exponential scale to the firm, powering the future growth of Aladdin.
Software engineers at BlackRock get to experience working at one of the most recognized financial companies in the world while being part of a software development team responsible for next generation technologies and solutions. Our engineers design and build large scale data storage, computation and distribution systems. They partner with data and analytics experts to deliver high quality analytical and derived data to our consumers.
We are looking for software engineers who like to innovate and seek complex problems. We recognize that strength comes from diversity and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual. We are committed to open source and we regularly give our work back to the community. Engineers looking to work in the areas of data pipelines, discovery, storage, distribution, distributed computation, consumption and infrastructure are ideal candidates.
Responsibilities
Developers are expected to be involved from inception of projects, understand requirements, architect, develop, deploy, and maintain applications. Typically they work in a multi-disciplinary squad (we follow Agile!) which involves partnering with program and product managers to expand product offering based on business demands. Design is an iterative process, whether for UX, services or infrastructure. Our goal is to drive up user engagement and adoption of the platform while constantly working towards modernizing and improving platform performance and scalability.
Deployment and maintenance requires close interaction with various teams. This requires maintaining a positive and collaborative working relationship with teams within DOE as well as with wider Aladdin developer community. Production support for applications is usually required for issues that cannot be resolved by operations team. Creative and inventive problem solving skills for reduced turn around times are highly valued.
Preparing user documentation to maintain both development and operations continuity is integral to the role. Adhering to BlackRock's UX and design standards is expected and contributing towards upkeep of those standards is encouraged.
Participate in the production support, trouble shoot and incident management as needed
Desirable Skills
BA/BS in Computer Science or equivalent practical experience
At least 5+ years experience as a software engineer
Experience in Java, Spring Framework, SQL, Sybase, Linux is a must
Experience with C++ is a bonus
Experience with Cassandra is an added advantage
Robust object-oriented design pattern knowledge and implementation experience using one or more languages like C++, Java or Python
Experience with dev ops tools like Git, Maven, Jenkins, Gitlab CI, Azure DevOps
Experience with Agile development concepts and related tools
Excellent written and verbal communication skills
Passion for learning and implementing new technologies
Skills that would be a plus
Python or Perl
Experience in leading a small team of technical developers
ETL background
Our benefits

To help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.
About BlackRock
BlackRock's purpose is to help more and more people experience financial well-being. As a fiduciary to investors and a leading provider of financial technology, we help millions of people build savings that serve them throughout their lives by making investing easier and more affordable.

BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.
BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.
Apply Now: click Apply Now",541,800,670.5,Public,1,0,1,0,0,0,1,Other,Other,Other,Other,Finance
6,Data Scientist,Chennai,Ericsson-Worldwide,4.0,Company - Public,Telecommunications Service,Telecommunications,₹439K - ₹561K (Glassdoor Est.),"Our Excellerate Global Leadership Program will give you an outstanding opportunity to engage with commercial projects at a strategic and global level, rising up to challenges and becoming and developing as a leader.

As part of the Excellerate program you are able to seize the initiative, operate with a consultative approach and collaborate on cross-technology solutions. The program will ensure you gain real practical insight into our business, our stakeholders and our customers including communication service providers (CSP) across the globe, and how we integrate end-to-end solutions to ensure everyone worldwide is connected.

Your journey within the Excellerate Program will start as Ericsson Early Career Program | Innovate | at GAIA

Our Exciting Opportunity :


As a Data Scientist, you will need to have strong programming skills and good understanding of data science and Machine Learning tools. You will use your knowledge and/or experience in Data Science methodologies and apply them to seek results-oriented real-world problems as part of a highly dynamic and distributed team. Your contribution will also help to build new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses!
We believe in trust – we trust each other to do the right things!
We believe in taking decisions as close to the product and technical expertise as possible.
We believe in creativity – trying new things and learning from our mistakes.
We believe in sharing our insights and helping one another to build an even better user plane.
We truly believe in happiness, we enjoy and feel passionate about what we do and value each other’s technical competence deeply.
You will:

Conduct functional and technical analysis within Ericsson organization and strategic customers to understand MI-driven business needs and opportunities.
Engage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needs.
Work with new technologies and champion them in MI Communities within Ericsson.
Help to develop new and apply/extend existing, concepts, methodologies, techniques for multi-functional initiatives.
To be successful in the role you must have:
Experience with Big Data technologies such as Hadoop, Cassandra etc.
Strong Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python and/or C++.
Ability to build and champion internal and external communities.
Ability to work independently with high energy, passion and persistence.
Key Qualification:

Experience: 3 years
Education: · A Bachelor’s degree or higher in a technology related discipline from a reputed university.
What´s in it for you?


Here at Ericsson, our culture is built on over a century of daring decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo, but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless.

What happens once you apply?


To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process

Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.

Be the one who did.

Find out more about our Early Career program, what the alumni's are up to now and how the program can transform your career at www.ericsson.com/ecp
Start your job application: click Apply Now",439,561,500.0,Public,1,0,1,1,1,0,1,Internship,Data Scientist,Other,Service,Other
7,Data Scientist,Chennai,Bayer,4.1,Company - Public,Telecommunications Service,Telecommunications,₹980K (Glassdoor Est.),,980,980,980.0,Public,0,0,0,0,0,0,0,Other,Data Scientist,Other,Service,Other
8,Staff Big Data Engineer (Data Science/ML),Pune,Integral Ad Science,3.5,Company - Private,Internet,Information Technology,₹439K - ₹820K (Glassdoor Est.),"Vista Equity Partners is the world's leading private equity firm for Enterprise Software and recently invested $1.5B in the Reliance Jio Digital Platform. As part of the Vista portfolio, Integral Ad Science (IAS) is a NYC-headquartered global technology and data company that builds verification, optimization, and analytics solutions for the advertising industry. We are looking for a Staff Big Data Engineer (Data Science/ML) to join our new and fast-growing Engineering team in Pune. If you are excited by technology that has the power to handle hundreds of thousands of transactions per second; collect tens of billions of events each day; and evaluate thousands of data-points in real-time all while responding in just a few milliseconds, then IAS is the place for you!

As a Staff Big Data Engineer (Data Science/ML) you will build and expand upon the testing framework and testing infrastructure of IAS' core ad verification, analytics and anti ad fraud software products.

What you'll get to do:
Planning delivery of data pipelines and API endpoints for IAS (Integral Ad Science) product offerings
Architect and build data pipelines and data stores specialized for data science needs
Design architecture to streamline data science processes
Design and implement systems for large-scale data analysis and machine learning
Build tools and frameworks for use across the data science and data engineering teams
Define and implement best practices and development processes
Partner with engineering teams on deployments of data science driven solutions
Participate in training and mentoring of data engineers
You should apply if you have most of this experience:
8+ years of experience designing and building data-intensive applications
8+ years of recent hands-on in object oriented language (Java, Scala, Python)
3+ years of recent experience developing data pipelines in AWS or Google Cloud
Machine Learning/Data Science
Expertise in using Big Data frameworks (e.g., Hadoop, Spark) and MPP databases (e.g., RedShift, Vertica, Snowflake) for complex data assembly and transformation
Collections, multi-threading, JVM memory model, etc.
Algorithms and data structures
Orchestrating data pipelines using tools such as Airflow
What puts you over the top:
In-depth understanding of algorithms, scalability and various tradeoffs in a Big Data setting
Knowledge of database technology, SQL, schema design and query optimization techniques
Experience of designing for performance, scalability, and reliability
Digital advertising or web technology experience
Experience working with Apache Airflow
Experience implementing machine learning algorithms
About Integral Ad Science

Integral Ad Science (IAS) is the global market leader in digital ad verification, offering technologies that drive high-quality advertising media. IAS equips advertisers and publishers with both the insight and technology to protect their advertising investments from fraud and unsafe environments as well as to capture consumer attention, and drive business outcomes. Founded in 2009, IAS is headquartered in New York with global operations in 18 offices across 13 countries. IAS is part of the Vista Equity Partners portfolio of software companies. For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com.

Equal Opportunity Employer:

IAS is an equal opportunity employer, committed to our diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply.

California Applicant Pre-Collection Notice:

We collect personal information (PI) from you in connection with your application for employment or engagement with IAS, including the following categories of PI: identifiers, personal records, commercial information, professional or employment or engagement information, non-public education records, and inferences drawn from your PI. We collect your PI for our purposes, including performing services and operations related to your potential employment or engagement. For additional details or if you have questions, contact us at compliance@integralads.com.

To learn more about us, please visit http://integralads.com/ and https://muse.cm/2t8eGlN

Attention agency/3rd party recruiters: IAS does not accept any unsolicited resumes or candidate profiles. If you are interested in becoming an IAS recruiting partner, please send an email introducing your company to recruitingagencies@integralads.com. We will get back to you if there's interest in a partnership.",439,820,629.5,Private,1,1,0,1,1,0,1,Internship,Data Scientist,Other,Internet,Information Technology
9,"Python Data Engineer, Analyst",Pune,BlackRock,4.1,Company - Private,Internet,Information Technology,₹517K - ₹822K (Glassdoor Est.),,517,822,669.5,Private,0,0,0,0,0,0,0,Other,Data Engineer,Other,Internet,Information Technology
